==================================================
Training Log - 2026-01-12 21:17:58
==================================================

Configuration:
h5_path: /mnt/f/AI_Seismic_Data/scsn/scsn_p_2000_2017_6sec_0.5r_fm_train.hdf5
batch_size: 580
epochs: 50
learning_rate: 0.0001
num_workers: 0
train_val_split: 0.9
limit: None
p0: 0
windowlen: 600
picker_p: 300
label_key: label
device: None
checkpoint_dir: ./checkpoints_eqpolarity_scsn
save_best_only: True
patience: 5
resume_checkpoint: ./checkpoints_eqpolarity_scsn/scsn_best.pth

==================================================
Epoch  | Train Loss   | Train Acc  | Val Loss     | Val Acc    | Time                
--------------------------------------------------------------------------------
1      | 0.1581       | 93.82      | 0.0990       | 96.82      | 2026-01-12 21:35:40 
2      | 0.0989       | 96.83      | 0.0915       | 97.07      | 2026-01-12 21:53:03 
3      | 0.0934       | 97.00      | 0.0889       | 97.14      | 2026-01-12 22:10:27 
4      | 0.0909       | 97.07      | 0.0880       | 97.19      | 2026-01-12 22:27:49 
5      | 0.0883       | 97.16      | 0.0860       | 97.24      | 2026-01-12 22:45:08 
6      | 0.0868       | 97.19      | 0.0846       | 97.25      | 2026-01-12 23:02:15 
7      | 0.0850       | 97.25      | 0.0839       | 97.27      | 2026-01-12 23:19:11 
8      | 0.0839       | 97.28      | 0.0823       | 97.31      | 2026-01-12 23:35:56 
9      | 0.0830       | 97.29      | 0.0823       | 97.30      | 2026-01-12 23:52:25 
10     | 0.0818       | 97.33      | 0.0799       | 97.38      | 2026-01-13 00:08:20 
11     | 0.0808       | 97.36      | 0.0804       | 97.37      | 2026-01-13 00:24:02 
12     | 0.0804       | 97.38      | 0.0791       | 97.42      | 2026-01-13 00:39:37 
13     | 0.0795       | 97.40      | 0.0805       | 97.43      | 2026-01-13 00:55:11 
14     | 0.0790       | 97.41      | 0.0791       | 97.41      | 2026-01-13 01:10:46 
15     | 0.0781       | 97.45      | 0.0799       | 97.42      | 2026-01-13 01:26:20 
16     | 0.0774       | 97.46      | 0.0776       | 97.46      | 2026-01-13 01:41:54 
17     | 0.0768       | 97.49      | 0.0770       | 97.49      | 2026-01-13 01:57:29 
18     | 0.0762       | 97.50      | 0.0776       | 97.46      | 2026-01-13 02:13:03 
19     | 0.0757       | 97.53      | 0.0766       | 97.49      | 2026-01-13 02:28:37 
20     | 0.0753       | 97.53      | 0.0785       | 97.41      | 2026-01-13 02:44:12 
21     | 0.0748       | 97.54      | 0.0774       | 97.46      | 2026-01-13 02:59:46 
22     | 0.0747       | 97.55      | 0.0761       | 97.51      | 2026-01-13 03:15:20 
23     | 0.0742       | 97.56      | 0.0758       | 97.51      | 2026-01-13 03:30:55 
24     | 0.0739       | 97.56      | 0.0762       | 97.50      | 2026-01-13 03:46:29 
25     | 0.0736       | 97.59      | 0.0757       | 97.49      | 2026-01-13 04:02:04 
26     | 0.0732       | 97.59      | 0.0771       | 97.50      | 2026-01-13 04:17:38 
27     | 0.0727       | 97.61      | 0.0751       | 97.55      | 2026-01-13 04:33:12 
28     | 0.0724       | 97.62      | 0.0764       | 97.49      | 2026-01-13 04:48:47 
29     | 0.0720       | 97.65      | 0.0764       | 97.51      | 2026-01-13 05:04:21 
30     | 0.0716       | 97.65      | 0.0763       | 97.51      | 2026-01-13 05:19:58 
31     | 0.0715       | 97.66      | 0.0764       | 97.52      | 2026-01-13 05:35:33 
32     | 0.0711       | 97.67      | 0.0755       | 97.52      | 2026-01-13 05:51:07 
